title,artist,genre,tempo,mood_tags,combined_features
Kutu Ma Kutu,"Rajan Raj Shiwakoti, Melina Rai",Pop,120,"Happy,Celebratory",rajanrajshiwakoti melinarai pop 120 happy celebratory
Sali Mann Paryo,"Kali Prasad Baskota, Ashmita Adhikari",Pop,115,"Happy,Romantic",kaliprasadbaskota ashmitaadhikari pop 115 happy romantic
Maya Birani,"Mahesh Kafle, Melina Rai",Pop,110,"Romantic,Calm",maheshkafle melinarai pop 110 romantic calm
Phul Butte Sari,"Rajan Raj Shiwakoti, Milan Newar",Folk,105,"Happy,Celebratory",rajanrajshiwakoti milannewar folk 105 happy celebratory
Kasari Kasari 2,"Tanka Budhathoki, Melina Rai",Pop,100,"Romantic,Sad",tankabudhathoki melinarai pop 100 romantic sad
Nacha Firiri,"Mahesh Kafle, Melina Rai",Folk,110,"Nostalgic,Happy",maheshkafle melinarai folk 110 nostalgic happy
Gojima Daam Chaina,"Rajan Raj Shiwakoti, Melina Rai",Pop,125,"Happy,Uplifting",rajanrajshiwakoti melinarai pop 125 happy uplifting
Salko Pat Ko Tapari,"Bishnu Majhi, Kulendra BC",Folk,115,"Happy,Traditional",bishnumajhi kulendrabc folk 115 happy traditional
Lajalu Mayalu,"Urgen Dong, Anu Chaudhary",Pop,110,"Romantic,Happy",urgendong anuchaudhary pop 110 romantic happy
Chamak Chamak,Santosh Sunar,Pop,120,"Happy,Energetic",santoshsunar pop 120 happy energetic
Hamro Yo Maya Nachutos,"Urgen Dong, Benisha Poudel",Pop,105,"Romantic,Calm",urgendong benishapoudel pop 105 romantic calm
Darshan Salam,"Deepak Raj Giri, Swastima Khadka",Pop,115,"Happy,Celebratory",deepakrajgiri swastimakhadka pop 115 happy celebratory
Meri Champa,Tanka Timilsina,Folk,110,"Romantic,Nostalgic",tankatimilsina folk 110 romantic nostalgic
Chhunumunu Chhunumunu,Ashish Aviral,Pop,120,"Happy,Uplifting",ashishaviral pop 120 happy uplifting
Keshari,SD Yogi,Pop,115,"Energetic,Romantic",sdyogi pop 115 energetic romantic
Fulai Ful Dinchhu Ki,Shiva Pariyar,Pop,100,"Romantic,Sad",shivapariyar pop 100 romantic sad
Rupai Mohani,Tanka Budathoki,Pop,110,"Happy,Romantic",tankabudathoki pop 110 happy romantic
Parana Parana,Pushpan Pradhan,Pop,105,"Romantic,Calm",pushpanpradhan pop 105 romantic calm
Pahilo Number Ma,"David Shanker, Bindu Pariyar",Pop,120,"Happy,Energetic",davidshanker bindupariyar pop 120 happy energetic
